% Corrected geomagnetic indices and IMF, solar wind speed and OSF reconstructions
% This is a update of the paper 
%    Lockwood, M., H. Nevanlinna, L. Barnard, M.J. Owens, R.G. Harrison, A.P. Rouillard, and C.J. Scott
%    Reconstruction of Geomagnetic Activity and Near‐Earth Interplanetary Conditions over the Past 167 Years: 4. Near‐Earth Solar Wind Speed, IMF, and Open Solar Flux
%    Annales. Geophys., 32, 383‐399, doi: 10.5194/angeo-32-383-2014 (2014) 
%
% Update uses 
% 1. better, strahl-based correction for excess flux (a.k.a. switchbacks) in spacecraft OSF data from Frost et al. (in press with Solar Physics, 2022)
% 2. the homogeneous aa index (aaH) instead of corrected aa (aa_c) from  
%    Lockwood, M., I.D. Finch, A. Chambodut, L.A. Barnard, M.J. Owens, and E. Clarke
%    A homogeneous aa index: 2. hemispheric asymmetries and the equinoctial variation, 
%    J. Space Weather Space Clim., 8, A58, doi: 10.1051/swsc/2018044 (2018)
%    Lockwood, A. Chambodut, L.A. Barnard, M.J. Owens, E. Clarke, and V. Mendel, 
%    A homogeneous aa index: 1. Secular variation
%    J. Space Weather Space Clim., 8, A53, doi: 10.1051/swsc/2018038 (2018)
% 3. A  better allowance for Uncertainties caused by assumming Parker spiral IMF orientation for annual means
%Updates deries to be published in
%    Lockwood, M., M.J. Owens, L.A. Barnard, C.J. Scott, A.Frost, B. Yu and Y. Chi
%    Application of historic datasets to understanding Open Solar Flux and the 20th-century Grand Solar Maximum. 1. Geomagnetic, ionospheric and sunspot observations
%    Frontiers in Astronomy and Space Sciences, submitted (2022) 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%   
%	I.S.N	geomagnetic indices		IMF, B			solar wind speed, V	signed open solar flux, Fs		
%year	R	aaH	IDV1d	IDV	IHV	min B	best B	max B	min V	best V	maxV	min Fs	best Fs	max Fs
%		(nT)				(nT)	(nT)	(nT)	(km/s)	(km/s)	(km/s)	1e-14Wb	1e-14Wb	1e-14Wb
%1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1881.5	90.50	12.617	4.535	8.690	30.440	5.225	5.699	6.119	366.7	393.0	417.6	2.242	2.655	3.041
1882.5	99.02	20.729	6.078	12.470	40.380	6.293	7.095	8.240	408.9	440.4	481.1	3.135	3.857	4.787
1883.5	106.10	16.004	6.421	10.320	34.220	6.321	6.702	7.115	382.0	397.8	411.4	2.983	3.352	3.726
1884.5	105.75	13.089	5.325	9.370	28.660	5.767	6.101	6.424	350.3	371.6	390.9	2.465	2.798	3.126
1885.5	86.35	14.171	5.751	9.520	30.300	5.952	6.285	6.628	365.6	381.4	395.4	2.631	2.977	3.324
1886.5	42.43	18.798	5.988	9.580	35.600	6.026	6.419	6.843	418.6	433.5	443.1	2.965	3.355	3.751
1887.5	21.82	15.045	5.279	8.000	32.030	5.231	5.814	6.373	390.9	415.6	434.1	2.317	2.847	3.351
1888.5	11.19	14.177	4.610	7.470	30.480	4.975	5.470	5.944	397.8	415.9	430.0	2.141	2.614	3.070
1889.5	10.38	11.663	4.294	7.110	26.350	4.765	5.261	5.739	361.1	380.6	395.1	1.801	2.304	2.784
1890.5	11.82	10.038	3.851	6.450	24.270	4.412	4.956	5.419	324.3	366.2	397.1	1.351	2.035	2.560
1891.5	59.48	15.645	4.800	8.760	32.090	5.458	5.823	6.230	387.9	419.8	441.7	2.529	2.874	3.219
1892.5	121.66	21.895	7.519	14.190	41.870	7.288	7.953	9.460	378.1	422.6	463.6	3.621	4.352	5.522
1893.5	142.02	15.509	6.562	10.820	32.620	6.471	6.848	7.232	348.6	382.1	406.9	2.981	3.349	3.715
1894.5	129.96	18.807	6.697	13.450	37.250	6.931	7.491	9.175	348.3	402.4	448.8	3.191	3.900	5.112
1895.5	106.57	16.472	5.698	10.250	34.680	6.071	6.453	6.990	371.3	412.4	444.9	2.903	3.267	3.637
1896.5	69.44	16.419	5.334	10.400	35.400	5.983	6.367	7.259	363.7	419.0	468.2	2.813	3.241	3.783
1897.5	43.76	12.643	4.358	8.810	27.080	5.255	5.654	6.387	338.3	377.0	414.7	2.089	2.536	3.057
1898.5	44.42	13.935	4.886	9.120	30.530	5.542	5.915	6.422	349.8	395.1	429.2	2.447	2.810	3.170
1899.5	20.23	12.215	3.833	7.080	26.970	4.697	5.108	5.515	358.9	396.1	418.2	1.855	2.278	2.694
1900.5	15.73	7.332	3.742	5.730	19.630	3.866	4.726	5.245	265.7	315.7	352.2	0.673	1.624	2.263
1901.5	4.59	6.077	2.996	4.930	16.500	3.500	4.286	4.888	251.2	293.2	318.0	0.407	1.247	1.915
1902.5	8.50	6.466	3.113	5.070	16.120	3.574	4.355	4.944	258.0	291.9	319.2	0.511	1.275	1.921
1903.5	40.75	11.087	4.254	6.850	23.620	4.603	5.177	5.618	338.8	362.3	376.8	1.581	2.152	2.617
1904.5	70.13	10.865	4.182	7.700	23.590	4.947	5.334	5.720	328.3	353.5	376.2	1.793	2.204	2.620
1905.5	105.49	13.781	5.106	8.490	26.530	5.500	5.836	6.183	359.1	375.5	392.1	2.283	2.645	3.032
1906.5	90.10	11.652	4.441	7.430	25.150	4.956	5.372	5.766	344.4	368.6	384.0	1.836	2.312	2.727
1907.5	102.77	14.654	5.126	8.850	29.890	5.612	5.937	6.262	374.8	396.2	410.6	2.503	2.831	3.159
1908.5	80.89	15.586	5.549	9.570	30.670	5.897	6.239	6.588	379.6	395.2	408.6	2.689	3.025	3.362
1909.5	73.22	15.643	4.934	10.130	30.880	5.770	6.158	7.206	364.7	400.4	435.1	2.478	2.994	3.802
1910.5	30.93	15.996	4.575	8.130	33.640	5.275	5.619	5.965	410.6	439.4	472.4	2.460	2.825	3.183
1911.5	9.48	14.541	4.140	7.140	30.370	4.841	5.245	5.647	402.5	428.8	456.6	2.064	2.517	2.927
1912.5	6.02	8.459	3.251	5.720	21.110	4.017	4.580	5.099	303.9	345.2	369.3	1.020	1.694	2.257
1913.5	2.40	8.254	2.772	5.190	20.460	3.723	4.306	4.871	311.2	351.1	374.7	0.900	1.552	2.141
1914.5	16.05	10.238	3.260	6.160	24.780	4.229	4.703	5.175	331.6	383.3	412.7	1.400	1.952	2.464
1915.5	78.99	14.153	4.828	8.210	31.980	5.373	5.706	6.046	384.7	412.9	462.3	2.282	2.762	3.198
1916.5	95.04	17.940	5.743	9.480	37.540	5.995	6.318	6.654	419.6	440.7	489.9	2.900	3.322	3.736
1917.5	173.63	16.544	6.502	11.290	35.670	6.512	6.945	7.490	351.8	399.2	434.2	3.128	3.523	3.916
1918.5	134.60	19.389	6.559	11.630	41.230	6.608	7.070	7.760	393.9	435.9	490.0	3.355	3.824	4.281
1919.5	105.75	20.185	6.994	12.060	40.580	6.809	7.308	7.946	391.6	429.3	460.0	3.494	3.954	4.430
1920.5	62.73	16.481	6.161	10.770	34.990	6.317	6.719	7.218	361.2	403.9	435.1	3.029	3.399	3.764
1921.5	43.52	15.731	5.233	9.180	32.350	5.718	6.058	6.406	382.1	411.7	430.2	2.669	2.995	3.320
1922.5	23.72	17.407	4.228	8.080	35.680	5.103	5.505	5.970	427.1	465.8	506.3	2.474	2.852	3.226
1923.5	9.66	9.962	3.747	6.260	23.670	4.306	4.878	5.357	327.0	365.0	392.9	1.300	1.979	2.506
1924.5	27.90	9.848	3.976	7.130	22.930	4.739	5.135	5.535	312.3	347.9	371.8	1.579	2.051	2.497
1925.5	74.04	12.327	4.640	8.410	28.090	5.307	5.663	6.027	333.2	379.3	408.9	2.178	2.560	2.930
1926.5	106.50	18.550	7.522	11.080	36.810	6.582	7.251	7.813	370.1	406.6	441.1	3.082	3.771	4.295
1927.5	114.72	15.540	5.462	9.460	30.530	5.845	6.186	6.534	381.2	396.2	409.3	2.659	2.996	3.335
1928.5	129.71	16.371	6.356	9.920	31.830	6.159	6.588	7.005	372.9	393.4	409.9	2.826	3.246	3.621
1929.5	108.22	17.968	5.925	9.970	35.210	6.136	6.477	6.822	405.8	423.9	438.6	3.012	3.346	3.678
1930.5	59.40	26.119	5.743	10.420	46.770	6.179	6.578	7.204	495.1	517.6	543.6	3.394	3.848	4.474
1931.5	35.07	15.680	4.021	7.490	32.020	4.892	5.291	5.690	416.4	444.6	472.3	2.239	2.614	2.989
1932.5	18.56	17.703	3.957	7.440	35.380	4.868	5.277	5.686	446.6	478.4	514.7	2.355	2.733	3.105
1933.5	9.23	15.276	3.803	7.150	31.600	4.725	5.143	5.556	416.0	446.7	477.6	2.123	2.518	2.907
1934.5	14.56	12.619	3.764	7.030	27.130	4.657	5.077	5.494	371.1	402.1	424.0	1.870	2.284	2.696
1935.5	60.18	14.645	4.308	7.890	30.670	5.088	5.464	5.839	388.1	420.8	443.1	2.273	2.633	2.993
1936.5	132.83	15.192	5.072	9.050	30.650	5.615	5.968	6.345	380.5	402.9	421.1	2.547	2.887	3.228
1937.5	190.63	17.643	8.158	12.430	35.190	7.176	7.739	8.348	348.4	378.8	407.6	3.369	3.905	4.408
1938.5	182.61	21.725	8.101	14.340	39.320	7.452	8.168	9.331	377.6	405.2	429.5	3.645	4.380	5.379
1939.5	147.96	21.373	8.115	12.820	41.950	7.304	7.852	8.426	392.6	422.9	453.1	3.755	4.291	4.837
1940.5	113.03	21.641	7.805	12.590	40.330	7.166	7.696	8.244	405.4	423.4	439.3	3.687	4.185	4.677
1941.5	79.16	22.714	7.827	12.180	42.490	7.118	7.627	8.181	414.8	439.9	463.3	3.715	4.238	4.760
1942.5	50.76	19.964	5.600	9.500	39.920	5.965	6.290	6.618	443.9	465.6	503.0	3.063	3.420	3.778
1943.5	27.12	23.543	5.386	9.070	43.860	5.831	6.150	6.477	484.0	511.4	544.3	3.150	3.503	3.851
1944.5	16.07	16.497	4.710	8.370	33.030	5.370	5.716	6.061	412.4	435.5	453.3	2.540	2.875	3.208
1945.5	55.33	15.234	5.441	8.940	32.250	5.737	6.072	6.415	378.8	407.1	435.5	2.548	2.980	3.365
1946.5	154.32	23.063	9.156	14.420	41.150	7.830	8.546	9.285	389.3	407.7	424.5	4.000	4.655	5.321
1947.5	214.72	22.928	8.709	14.100	42.260	7.644	8.333	9.051	397.8	417.2	435.6	3.960	4.581	5.214
1948.5	193.03	20.698	6.495	11.070	38.940	6.505	6.927	7.394	422.5	439.7	453.4	3.334	3.745	4.175
1949.5	190.72	19.486	9.042	13.730	38.420	7.661	8.331	9.055	352.6	385.0	416.3	3.728	4.340	4.945
1950.5	118.87	22.281	7.862	12.760	43.620	7.217	7.765	8.328	407.6	436.9	465.4	3.797	4.319	4.845
